criminal_id,first_name,last_name,dob,gender,address,aadhaar_number
1,Shriya,Bhatt,1949-05-06,Female,"651, Salt Lake, Trivandrum - 195675",815193503850
2,Kavya,Iyer,1986-06-22,Female,"165, Bandra, Ghaziabad - 827370",484270768628
3,Aditi,Ansari,1947-07-27,Other,"38, Lajpat Nagar, Kolkata - 429796",415660635863
4,Vikash,Pillai,1945-07-28,Male,"2, DLF Phase, Dehradun - 584418",453271363074
5,Lokesh,Ali,1974-06-20,Male,"641, Karol Bagh, Hyderabad - 313447",157609459666
6,Kush,Prasad,1948-05-15,Male,"497, Rajajinagar, Delhi - 760627",702442419256
7,Rahul,Sharma,1962-03-10,Male,"566, Dadar, Kolkata - 335616",978788412279
8,Hira,Goyal,1947-02-21,Female,"511, Ballygunge, Udaipur - 406040",228475055567
9,Prisha,Parekh,1981-08-16,Female,"565, Banashankari, Surat - 299870",875279701940
10,Kiara,Shukla,1960-03-28,Other,"792, OMR, Ghaziabad - 456386",761089389845
11,Shakti,Tripathi,1990-01-10,Other,"858, Laxmi Nagar, Srinagar - 791999",967300992787
12,Priya,Ramesh,1977-06-11,Other,"557, Thane, Madurai - 437409",590264484194
13,Pihu,Iyer,1992-10-13,Other,"795, Dadar, Bangalore - 433633",309893341015
14,Vidya,Nair,1949-07-13,Other,"841, MG Road Gurgaon, Lucknow - 619390",622889527089
15,Dhruv,Garg,1975-10-11,Male,"896, Rajarhat, Coimbatore - 204556",142798595086
16,Sudha,Goyal,1998-07-28,Other,"77, Janakpuri, Vadodara - 455008",114847393047
17,Geeta,Iyer,1966-02-28,Female,"691, Rajarhat, Dehradun - 498469",862886090135
18,Meera,Gupta,1962-08-28,Other,"633, BTM Layout, Patna - 761821",451990349323
19,Pradeep,Chandra,1980-02-25,Male,"894, Malleswaram, Coimbatore - 274447",921315799665
20,Vihaan,Srivastava,2005-06-26,Male,"368, Powai, Noida - 252641",429398226794
21,Fatima,Kumar,1971-11-26,Female,"180, Indiranagar, Bhubaneswar - 501127",680869404959
22,Kabir,Parekh,1976-10-05,Male,"654, MG Road, Madurai - 367730",849985945258
23,Meera,Kumar,1950-05-22,Female,"76, Karol Bagh, Rajkot - 716114",111453993673
24,Kira,Tripathi,1963-05-15,Female,"204, Thane, Kochi - 211835",801364526954
25,Swati,Srivastava,1985-10-10,Other,"23, New Town, Gwalior - 515033",517630618448
26,Kriti,Agarwal,1952-11-25,Other,"933, Sector 18, Ajmer - 620857",109768818868
27,Pradeep,Yadav,1969-06-08,Male,"636, MG Road, Ujjain - 892281",417410688547
28,Kavya,Gopalan,1964-03-21,Other,"643, MG Road Gurgaon, Bangalore - 423940",944909953816
29,Krishna,Bansal,1970-06-24,Male,"932, Church Street, Faridabad - 883791",584423393396
30,Mukesh,Hassan,1999-09-29,Male,"514, Park Street, Ludhiana - 970814",290763133216
31,Zara,Shah,1946-05-24,Female,"824, Rajajinagar, Madurai - 178958",379879587162
32,Vijay,Joshi,1952-11-24,Male,"991, Rajarhat, Shimla - 483543",929533234908
33,Arya,Parekh,2007-05-18,Female,"378, Sohna Road, Ajmer - 805001",967971241676
34,Kavya,Krishna,1955-11-12,Female,"240, Janakpuri, Delhi - 749642",741076101791
35,Radha,Pillai,1993-11-03,Other,"476, Park Street, Jodhpur - 416870",458893511908
36,Aditya,Tripathi,1999-01-31,Male,"505, Rajajinagar, Pune - 346206",549465060984
37,Ajay,Srinivas,1983-08-12,Male,"714, Vasant Kunj, Ghaziabad - 715871",692221269274
38,Reyansh,Warrier,1951-07-21,Male,"502, Cyber City, Ghaziabad - 393329",902051938183
39,Prisha,Iyer,1994-08-15,Female,"372, Malleswaram, Ujjain - 485179",856054759475
40,Riya,Mittal,2004-07-09,Female,"972, Rajarhat, Madurai - 196127",812869405517
41,Aadhya,Nair,1967-10-01,Other,"342, Commercial Street, Jaipur - 925207",334774804042
42,Vishal,Pandey,1954-09-07,Male,"833, Howrah, Visakhapatnam - 444520",325763143343
43,Sara,Singhal,2007-05-28,Other,"554, MG Road, Nagpur - 215267",262239677678
44,Ravi,Verma,1985-04-19,Male,"179, MG Road, Hyderabad - 232916",241844645681
45,Pooja,Dave,2000-12-03,Other,"797, Powai, Guwahati - 722504",562747155483
46,Shakti,Nair,1993-10-02,Other,"931, Howrah, Gwalior - 646782",594389622444
47,Pooja,Iyer,1946-01-02,Other,"412, Connaught Place, Ujjain - 213207",603806666041
48,Nisha,Goyal,2003-02-11,Female,"68, Yelahanka, Ludhiana - 754645",883789736548
49,Nisha,Hassan,1962-06-13,Other,"302, Lajpat Nagar, Guwahati - 734837",742669170937
50,Lara,Suresh,2000-11-21,Other,"565, Adyar, Bhopal - 550962",209221874441
51,Kavita,Venkat,1955-08-13,Female,"98, Andheri, Noida - 427705",551952938516
52,Raya,Khan,1946-03-22,Female,"69, Indiranagar, Kolkata - 197759",382029490777
53,Myra,Ansari,1960-06-26,Other,"62, Laxmi Nagar, Shimla - 688968",204934110625
54,Ajay,Ramesh,1981-06-28,Male,"434, Howrah, Kota - 153946",835855226311
55,Divya,Ahmed,1988-06-04,Other,"218, Banashankari, Gwalior - 605613",417691853029
56,Vanya,Qureshi,1984-02-25,Other,"232, ECR, Noida - 986210",482716883762
57,Nisha,Raghavan,1966-09-01,Other,"674, New Town, Jodhpur - 380440",776980148875
58,Geeta,Modi,1963-05-30,Female,"7, Marathahalli, Lucknow - 693831",297692848598
59,Vivaan,Bansal,1998-12-21,Male,"765, Pitampura, Bhopal - 494469",540909937895
60,Shakti,Patel,1997-06-10,Female,"796, Nehru Place, Ranchi - 189084",600019373152
61,Vijay,Bansal,1997-10-02,Male,"279, Karol Bagh, Gwalior - 544612",159628500646
62,Aditi,Ahmed,1981-05-07,Female,"117, Juhu, Noida - 216277",767805832031
63,Vidya,Tripathi,1970-08-17,Other,"47, RT Nagar, Thane - 728438",844245876540
64,Krishna,Ramesh,1988-04-25,Male,"262, Church Street, Faridabad - 225813",104530254029
65,Nita,Rahman,1980-03-05,Other,"721, RT Nagar, Guwahati - 685865",645494046286
66,Kriti,Gupta,2003-07-28,Female,"447, Whitefield, Madurai - 181645",838018636669
67,Bharti,Reddy,1980-10-13,Other,"428, Church Street, Ahmedabad - 524708",447300118003
68,Rita,Bansal,1978-12-30,Other,"448, Rajarhat, Pune - 355136",286078462460
69,Zara,Tripathi,1974-02-13,Female,"764, Bandra, Visakhapatnam - 449248",746116310824
70,Deepak,Ahmed,1975-11-04,Male,"199, Esplanade, Rajkot - 468155",288029879499
71,Darsh,Yadav,1992-02-05,Male,"178, Sector 18, Lucknow - 897144",812186961287
72,Kiran,Ramesh,1996-11-16,Male,"578, Tambaram, Srinagar - 570712",820520073075
73,Zara,Reddy,1967-10-11,Other,"324, Banashankari, Coimbatore - 171604",722263658623
74,Aadhya,Modi,1988-05-19,Other,"520, BTM Layout, Nashik - 584173",587345305175
75,Sandeep,Krishnan,1984-05-03,Male,"876, Indiranagar, Bhubaneswar - 722938",140595660945
76,Kriti,Gopalan,1970-09-26,Female,"43, Karol Bagh, Jammu - 783502",523084634706
77,Aadhya,Dave,1977-09-05,Other,"106, ECR, Meerut - 849015",452995800627
78,Bharti,Dave,1996-01-08,Other,"450, Pitampura, Chandigarh - 739428",654412972034
79,Kavita,Suresh,1949-05-13,Female,"347, Sohna Road, Ranchi - 154910",500113768313
80,Kavya,Ansari,1986-02-11,Other,"695, Thane, Agra - 364237",794879438508
81,Ajay,Goyal,1986-02-19,Male,"939, Juhu, Nashik - 787924",765317675836
82,Anika,Tripathi,1999-10-23,Female,"573, Thane, Jabalpur - 930118",828849421613
83,Nitesh,Krishna,1965-12-27,Male,"935, Pitampura, Kolkata - 777407",994763993623
84,Disha,Singh,1984-01-12,Other,"974, JP Nagar, Meerut - 903374",566736054731
85,Ivan,Iyer,1999-03-03,Male,"808, Malleswaram, Guwahati - 908321",312541915214
86,Nisha,Desai,1986-10-05,Other,"158, Hennur, Nagpur - 971729",140916141812
87,Mamta,Gupta,1956-03-24,Other,"421, Powai, Ujjain - 854541",949084306678
88,Mamta,Mishra,1959-12-26,Female,"547, Commercial Street, Nashik - 947904",771922717098
89,Ganesh,Parekh,1984-11-19,Male,"788, Church Street, Surat - 627336",618764920062
90,Ashish,Singhal,1955-04-26,Male,"894, MG Road, Hyderabad - 772325",561826923220
91,Ayaan,Srivastava,1962-09-28,Male,"86, Tambaram, Kanpur - 386043",707184732581
92,Mamta,Raman,2002-04-27,Female,"358, Ballygunge, Delhi - 535051",261118623175
93,Anika,Mehta,1984-04-13,Other,"230, Whitefield, Faridabad - 203897",534020433500
94,Diya,Srivastava,1986-03-05,Other,"940, New Town, Kochi - 829885",885288282572
95,Saanvi,Gopalan,1977-08-20,Other,"82, Whitefield, Vadodara - 326131",253893447730
96,Rekha,Bhatt,1947-12-20,Other,"114, Porur, Agra - 349184",266794896461
97,Aryan,Malik,1992-07-21,Male,"469, BTM Layout, Ahmedabad - 977331",234437420730
98,Sneha,Qureshi,1973-01-21,Other,"248, T Nagar, Lucknow - 405421",649348422854
99,Kavita,Singh,1985-04-19,Other,"681, DLF Phase, Kolkata - 648914",101843567009
100,Vikash,Nair,1946-09-18,Male,"520, Saket, Delhi - 509421",499323100384
101,Darsh,Srinivas,1967-07-12,Male,"17, Juhu, Chennai - 461552",619147005473
102,Shriya,Srinivas,1967-02-25,Other,"775, Bandra, Jaipur - 146490",904194512296
103,Hira,Suresh,1955-11-06,Female,"702, Lajpat Nagar, Jodhpur - 601777",698513567016
104,Kiran,Gupta,2003-12-25,Male,"301, HSR Layout, Bangalore - 929539",300281780432
105,Meera,Khan,1975-07-27,Female,"260, Electronic City, Jabalpur - 300387",443777368334
106,Harsh,Mittal,1952-11-11,Male,"819, Powai, Noida - 519454",492070860877
107,Swati,Ali,1986-03-16,Female,"377, Ballygunge, Chandigarh - 379677",584228819436
108,Nisha,Pillai,1980-02-14,Other,"185, Vasant Kunj, Agra - 436815",193635218050
109,Mamta,Siddiqui,1965-05-10,Female,"735, Connaught Place, Kanpur - 823271",186340000596
110,Naya,Modi,2005-12-28,Female,"630, Connaught Place, Ludhiana - 770533",484158661330
111,Ramesh,Mehta,2003-11-21,Male,"526, ECR, Ajmer - 812414",971792578891
112,Myra,Jain,1964-08-02,Other,"242, Porur, Jabalpur - 484124",254752570608
113,Shweta,Dave,2005-10-05,Other,"972, Powai, Kalyan-Dombivali - 565505",522462219932
114,Smita,Patel,1999-09-12,Other,"666, Brigade Road, Patna - 218960",184881801482
115,Rohan,Ansari,1976-09-13,Male,"121, MG Road, Vadodara - 838238",907565148591
116,Neha,Yadav,1989-12-30,Other,"126, Yelahanka, Chennai - 574002",333844962406
117,Ravi,Raju,1956-11-28,Male,"356, T Nagar, Chennai - 676714",588395204803
118,Bharti,Raghavan,1953-03-23,Female,"718, Golf Course Road, Nagpur - 932251",420156188169
119,Krishna,Tiwari,2000-04-26,Male,"810, Dwarka, Delhi - 478428",659898345574
120,Usha,Raman,1978-09-05,Female,"89, BTM Layout, Nashik - 517501",729444729179
121,Preeti,Trivedi,1977-09-14,Other,"844, Nehru Place, Chennai - 231415",890272243190
122,Shweta,Hassan,2003-08-15,Other,"353, Yelahanka, Shimla - 770873",452068690122
123,Dhruv,Agarwal,1980-09-30,Male,"852, Rajajinagar, Chandigarh - 260449",300093017218
